Fund Slug,LP Slug,Commitment Year,Source URL,Source Date,Confidence,Scraping Method Used
kiva-refugee-investment-fund,u-s-international-development-finance-corporation,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,soros-economic-development-fund,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,sobrato-philanthropies,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,impactassets,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,ceniarth,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-missionary-sisters-of-the-sacred-heart-of-jesus,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,tiedemann-advisors,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-shapiro-family-foundation,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-dunn-family-charitable-foundation,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-fairmount-foundation,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,mercy-investment-services,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,vanguard-charitable,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,capshift,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-jmb-charitable-fund,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
kiva-refugee-investment-fund,the-todd-and-anne-mccormack-fund,2021,https://www.prnewswire.com/news-releases/kiva-capital-management-announces-final-close-of-kiva-refugee-investment-fund-to-scale-lending-to-fragile-communities-globally-301264464.html,2026-04-28,confirmed,fund_lp_scraper_KRIF
